albinos: false
overseersSpawnChance: 0.05
overseersMin: 1
overseersMax: 3
playerGuideOverseerSpawnChance: 0.0
pupSpawnChance: 0.0
Subregion: Subway
Subregion: Maintenance
Room_Attr: TL_B11: BlackLizard-Forbidden,BigSpider-Forbidden,SpitterSpider-Forbidden,
Room_Attr: TL_F03: BlackLizard-Forbidden,BigSpider-Forbidden,SpitterSpider-Forbidden,
Room_Attr: TL_S07: BlackLizard-Forbidden,BigSpider-Forbidden,SpitterSpider-Forbidden,
Room_Attr: TL_B14: BlackLizard-Forbidden,BigSpider-Forbidden,SpitterSpider-Forbidden,
Room_Attr: TL_V02: BlackLizard-Forbidden,BigSpider-Forbidden,SpitterSpider-Forbidden,
Room_Attr: TL_S08: BlackLizard-Forbidden,BigSpider-Forbidden,SpitterSpider-Forbidden,
Room_Attr: TL_B06: BlackLizard-Forbidden,BigSpider-Forbidden,SpitterSpider-Forbidden,
Room_Attr: TL_B15: BlackLizard-Forbidden,BigSpider-Forbidden,SpitterSpider-Forbidden,
Room_Attr: TL_B16: BlackLizard-Forbidden,BigSpider-Forbidden,SpitterSpider-Forbidden,
Room_Attr: TL_A11: BlackLizard-Forbidden,BigSpider-Forbidden,SpitterSpider-Forbidden,
Room_Attr: TL_A12: BlackLizard-Forbidden,BigSpider-Forbidden,SpitterSpider-Forbidden,
Room_Attr: TL_A13: BlackLizard-Forbidden,BigSpider-Forbidden,SpitterSpider-Forbidden,
Room_Attr: TL_A14: BlackLizard-Forbidden,BigSpider-Forbidden,SpitterSpider-Forbidden,
Room_Attr: TL_A15: BlackLizard-Forbidden,BigSpider-Forbidden,SpitterSpider-Forbidden,
Room_Attr: TL_A16: BlackLizard-Forbidden,BigSpider-Forbidden,SpitterSpider-Forbidden,
Room_Attr: TL_A17: BlackLizard-Forbidden,BigSpider-Forbidden,SpitterSpider-Forbidden,
Room_Attr: TL_A18: BlackLizard-Forbidden,BigSpider-Forbidden,SpitterSpider-Forbidden,
Room_Attr: TL_A19: BlackLizard-Forbidden,BigSpider-Forbidden,SpitterSpider-Forbidden,
Room_Attr: TL_A20: BlackLizard-Forbidden,BigSpider-Forbidden,SpitterSpider-Forbidden,
Room_Attr: TL_A21: BlackLizard-Forbidden,BigSpider-Forbidden,SpitterSpider-Forbidden,
Room_Attr: TL_A22: BlackLizard-Forbidden,BigSpider-Forbidden,SpitterSpider-Forbidden,
Room_Attr: TL_A23: BlackLizard-Forbidden,BigSpider-Forbidden,SpitterSpider-Forbidden,
Room_Attr: TL_A24: BlackLizard-Forbidden,BigSpider-Forbidden,SpitterSpider-Forbidden,
Room_Attr: TL_H04: BlackLizard-Forbidden,BigSpider-Forbidden,SpitterSpider-Forbidden,
Room_Attr: TL_A25: BlackLizard-Forbidden,BigSpider-Forbidden,SpitterSpider-Forbidden,
Room_Attr: TL_F04: BlackLizard-Like,BigSpider-Like,SpitterSpider-Like,MotherSpider-Like,
Room_Attr: TL_S10: BlackLizard-Forbidden,BigSpider-Forbidden,SpitterSpider-Forbidden,MotherSpider-Forbidden,
Room_Attr: TL_S12: BlackLizard-Forbidden,BigSpider-Forbidden,SpitterSpider-Forbidden,
Room_Attr: TL_B19: BlackLizard-Forbidden,BigSpider-Forbidden,SpitterSpider-Forbidden,
Room_Attr: TL_B20: BlackLizard-Forbidden,BigSpider-Forbidden,SpitterSpider-Forbidden,MotherSpider-Forbidden,
Room_Attr: TL_C13: BlackLizard-Forbidden,BigSpider-Forbidden,SpitterSpider-Forbidden,MotherSpider-Forbidden,
Room_Attr: TL_B21: BlackLizard-Forbidden,BigSpider-Forbidden,SpitterSpider-Forbidden,MotherSpider-Forbidden,
Room_Attr: TL_G02: BlackLizard-Forbidden,Vulture-Forbidden,BigSpider-Forbidden,SpitterSpider-Forbidden,KingVulture-Forbidden,MotherSpider-Forbidden,
Room_Attr: TL_C04: BlackLizard-Like,BigSpider-Like,SpitterSpider-Like,MotherSpider-Like,
Room_Attr: TL_D02: BlackLizard-Forbidden,BigSpider-Forbidden,SpitterSpider-Forbidden,MotherSpider-Forbidden,
Room_Attr: TL_C05: BlackLizard-Forbidden,BigSpider-Forbidden,SpitterSpider-Forbidden,MotherSpider-Forbidden,
Room_Attr: TL_D03: BlackLizard-Forbidden,BigSpider-Forbidden,SpitterSpider-Forbidden,MotherSpider-Forbidden,
Room_Attr: TL_S04: BlackLizard-Like,BigSpider-Like,SpitterSpider-Like,MotherSpider-Like,
Room_Attr: TL_A28: BlackLizard-Forbidden,BigSpider-Forbidden,SpitterSpider-Forbidden,
Room_Attr: TL_A29: BlackLizard-Forbidden,BigSpider-Forbidden,SpitterSpider-Forbidden,
Room_Attr: TL_A30: BlackLizard-Forbidden,BigSpider-Forbidden,SpitterSpider-Forbidden,
Room_Attr: TL_B18: BlackLizard-Forbidden,BigSpider-Forbidden,SpitterSpider-Forbidden,
Room_Attr: TL_A31: BlackLizard-Forbidden,BigSpider-Forbidden,SpitterSpider-Forbidden,MotherSpider-Forbidden,
Room_Attr: TL_A32: BlackLizard-Forbidden,BigSpider-Forbidden,SpitterSpider-Forbidden,
Room_Attr: TL_A33: BlackLizard-Forbidden,BigSpider-Forbidden,SpitterSpider-Forbidden,
Room_Attr: TL_A34: BlackLizard-Forbidden,BigSpider-Forbidden,SpitterSpider-Forbidden,
Room_Attr: TL_A35: BlackLizard-Forbidden,BigSpider-Forbidden,SpitterSpider-Forbidden,
Room_Attr: TL_A36: BlackLizard-Forbidden,BigSpider-Forbidden,SpitterSpider-Forbidden,
Room_Attr: TL_A37: BlackLizard-Forbidden,BigSpider-Forbidden,SpitterSpider-Forbidden,
Room_Attr: TL_A38: BlackLizard-Forbidden,BigSpider-Forbidden,SpitterSpider-Forbidden,
Room_Attr: TL_D06: BlackLizard-Forbidden,BigSpider-Forbidden,SpitterSpider-Forbidden,MotherSpider-Forbidden,
Room_Attr: TL_D04: Vulture-Forbidden,
Room_Attr: TL_V01: BlackLizard-Forbidden,LanternMouse-Forbidden,BigSpider-Forbidden,SpitterSpider-Forbidden,
Room_Attr: TL_A27: BlackLizard-Forbidden,BigSpider-Forbidden,SpitterSpider-Forbidden,
Room_Attr: OffScreenDen_TL: BigSpider-Forbidden,SpitterSpider-Forbidden,
